plate,status,predicted_meaning,label,predicted
LNGLEGZ,Y,LONG LEGS,1,N
HUSAIN,N,HUSAIN IS A NATIVE AMERICAN,0,Y
2SLO HOE,N,HOE,0,N
AAONG88,N,88-HITLER,0,N
R88DERR,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
$D 4EVR,N,LOVE D FOREVER,0,Y
BOOMTCO,N,BOOM TACO,0,Y
FOU R C,Y,FUCK YOU,1,N
WHODLIM,N,WHO DAMN?,0,N
BRD HNTR,Y,BRD HUNTER,1,N
XOXO TT,N,TT=PENIS IN TAGALOG,0,N
PRTYNPK,Y,PRTY NICK,1,Y
KILLAKC,N,KILL A KILLER,0,N
6 REDMAN,N,RED MAN,0,N
HATER 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
1SIZEUP,Y,ONE SIZE UP,1,Y
WUKAR 1,N,FUCKER,0,N
6 X TREE,N,XTREME,0,Y
ECCHII,N,ECCHII=ASS,0,N
DCV8888,N,88 = HATE NUMBER,0,N
THE 650S,Y,650 AREA CODE,1,N
SSXDGM,Y,SSX DGM,1,N
OGV1O,N,"OG, GANG REFERENCE",0,N
G8O5TOY,N,805 AREA CODE,0,N
BANG OUT,N,BANG OUT,0,N
515O 4LF,Y,LOOK ALIKE,1,N
LCONCHO,Y,CONCHO=VAGINA,1,N
GOT2B18,N,18=hate symbol,0,N
7T3 KTY,Y,"KITTY, SEXUAL REFERENCE",1,N
CRIPES,Y,CRIPES,1,N
1771K3Y,Y,LOOK ALIKE,1,N
YEABISH,N,ABISH=BITCH,0,N
OG GTO,N,OG,0,N
LEGBRKR,N,LEGGBROKER,0,N
TENGU88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
SHZAKLA,N,SHIZAKLA IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N
MONGO56,Y,MONGO IS A RACIAL SLUR TOWARDS AFRICAN AMERICANS,1,N
I GO POP,Y,I GO POP,1,Y
FAT PUNK,N,PUNK=VAGINA,0,N
$MYWEEZ,N,WEEZ=PUSSY,0,N
CHRG4PS,N,CHRG IS ANOTHER WORD FOR VAGINA,0,N
NOSUPFU,N,NO SUPPORT FOR YOU,0,N
CHVY 562,N,562 AREA CODE,0,N
CU H8ING,N,HOSTILE-HATE,0,N
M1O24O6,N,LOOK ALIKE,0,N
ALL BLCS,N,ALL BLACKS,0,N
BROOD,Y,BROOD,1,N
MINI DAM,N,DAM,0,N
OLIWOOD,Y,OLIVIA WOOD,1,Y
MJIC BOX,N,BOX,0,N
STMPAHO,N,HO,0,N
$HUMMRZ,Y,HUMMER IS A RACIAL SLUR TOWARDS AFRICAN AMERICANS,1,N
BONEDAD,N,BONE DAD,0,N
CRBFRKS,N,FRKS CAN BE ANOTHER WORD FOR FUCK,0,N
DEZZ NTS,N,DEEZ NUTS,0,N
1JEFE,Y,JEFE,1,N
I NEED A,Y,I NEED A VEHICLE,1,N
OKINAMI,N,OKINAMI IS A TYPE OF SURFING,0,Y
KYLE SS,Y,"SS, no Chevy on ANI",1,N
GOAT 2O9,N,209 AREA CODE,0,N
FCB MSN,Y,FUCK BITCH,1,N
RU13OF3,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
INFM OG,N,OG,0,N
BUM PSSS,N,BUM=PUSSY,0,N
THICCAF,N,AF STANDS FOR AS FUCK,0,N
TT$KIDZ,N,TT=PENIS IN TAGALOG,0,N
TCOMAMA,N,TACO,0,N
BRAZY SS,N,BRAZY SS,0,Y
SLVE,N,SLAVE,0,N
CHASE U,N,CHASE YOU,0,N
13DHAMI,N,13 GANG REFERENCE,0,N
JULES B,N,STAND ALONE B,0,N
PUNKB,N,PUNK,0,N
BJSDLIT,N,BJ DELIVERY,0,N
YASSPLZ,N,YES PLEASE,0,N
TACOFVR,Y,TACO,1,N
SLAMD P,N,SLAYED PIG,0,N
BEEZZ EE,N,BEEZY=BITCH,0,N
ESCO31O,N,310 AREA CODE,0,N
IFRINN,Y,I'M FRENCH,1,Y
8#BUG,Y,BUG=VAGINA,1,N
DRG N ME,N,DIRTY GIRL IN ME,0,N
S1223O1,N,LOOK ALIKE,0,N
14M19M,N,14 GANG REFERENCE,0,N
AH SIIT,N,AH SIT,0,N
831VALY,N,831 AREA CODE,0,N
ZUKZILA,N,SUCK ZILLA,0,N
BLK DOG2,Y,BLACK DOG,1,Y
DROP EM,N,DROP THEM,0,N
G EDTN,N,G=GANGSTER,0,N
LILJERK,N,LITTLE JERK,0,N
HPRV,Y,HORSEPOWER RV,1,Y
TTSUPRA,Y,TITS UP,1,N
619SAND,N,619 AREA CODE,0,N
88 TARGA,Y,"88=HATE SYMBOL, NO 1988 CAR ON ANI",1,N
13 LEAPS,N,13 GANG REFERENCE,0,N
ASHOOOO,N,ASSHOLE,0,N
KATS T,Y,KATS,1,N
HOWSUFU,N,FUCK YOU,0,N
SSUKCUR,N,SUCKS CURRENCY,0,N
1313M,N,13 = GANG NUMBER,0,N
BLK TUNA,N,BLACK TUNA,0,N
KTNMTNS,Y,KITTEN MATTERS,1,Y
TOBYCAT,Y,TOBY CAT,1,Y
SZRSSUK,N,SUCK,0,N
NOSAPO,N,NO SUBARU,0,N
NO WOOD,Y,NO WOOD,1,Y
SLVE O1,N,SLAVE,0,N
MEOW MF,N,MEOW MOTHER FUCKER,0,N
ILIKESD,N,I LIKE DICK,0,N
G TOSTR,N,G AS IN GANGSTER,0,N
D ICED,Y,ICED,1,N
8FLASH8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
O4DJM14,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N
Z31OXO,N,310 = AREA CODE,0,N
U WET YT,N,YOU WET,0,N
NOPOSSI,N,NO POSSI,0,N
71VHELL,Y,71 VEHICLE,1,N
LFSTRN G,N,G AS IN GANGSTER,0,N
FAT FUCS,N,FAT FUCK,0,N
O2 BLUE,Y,BLUE,1,Y
VINI88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
ORNG5OH,Y,"ORANGE IS ANOTHER WORD FOR PENIS, WHICH IS ANOTHER WORD FOR PENIS",1,N
GLS 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
23 757,Y,AREA CODE,1,N
MOOKS33,N,"MOOKS IS A TYPE OF PUSSY, WHICH IS ANOTHER WORD FOR VAGINA",0,N
O1729,N,LOOK ALIKE,0,N
REX 14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
MATCH69,N,MATCH 1969,0,Y
I812B4U,N,I'M A BANKER AND I'M GOING TO BE FOR YOU,0,N
MARIO B,Y,STANDALONE B,1,N
JR562RS,N,562 IS AREA CODE,0,N
DOCTA 13,Y,"13=GANG NUMBER, NO 2013 CAR",1,N
WRX4SLT,N,WRX FOR SLT,0,Y
MV HEIST,N,HEIST,0,N
FLYINGD,Y,FLYING D,1,Y
DAMIII,N,DAMN,0,N
BOXSPDR,Y,BOX SPDR IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,1,N
69 HLCAT,N,NO 69 CAR ON RECORD,0,N
BRZ BREW,Y,BREEZY BREEZY,1,N
BXNWHLS,Y,BOX AND WHLS,1,Y
8O5 DUCE,N,805 AREA CODE,0,N
KOOOCHI,N,KOCHI=PUSSY,0,N
BCH7747,Y,BCH CAN STAND FOR BITCH,1,N
RA1D8ER,N,18=HATE SYMBOL,0,N
MACMACZ,Y,MACMAC IS ANOTHER WORD FOR VAGINA,1,N
KICROC7,Y,KICK ROCKS,1,Y
VIILION,Y,LION,1,N
CMNDO JK,Y,JK=JEEP,1,Y
O31323S,N,LOOK ALIKE,0,N
SV6E AF,N,AF-AS FUCK,0,N
OUTLW71,Y,OUTLAW,1,N
DAR 2BU,Y,DARE TO BE YOU,1,Y
911 T S,Y,911 EMERGENCY,1,N
RED GAP,Y,RED GAP,1,Y
C S I6,N,C S IS FOR CUSTOMERS INITIALS,0,N
D LUV P,N,"D=DICK, P=PUSSY",0,N
G HAUS,N,G AS IN GANGSTER,0,N
E ST PD,N,PD,0,N
LOVEFNP,N,LOVE FUCKEN PEOPLE,0,N
R8ER 8O5,N,805 AREA CODE,0,N
BEETUNA,N,BEETLE CAN BE A SEXUAL REFERENCE,0,N
KKIN GAS,N,KICKIN GAS,0,N
KYLAMIR,N,KILLER,0,N
8O5 SOLD,Y,805 AREA CODE,1,N
JEDI 951,N,951 AREA CODE,0,N
I8PZZA,Y,I ATE PIZZA,1,N
CKBLOOM,N,CUCK BLOOM,0,N
PACMUUL,Y,PACKING MULDER,1,N
PUSSYCT,N,PUSSY,0,N
A5O7N2,N,AREA CODE,0,N
ILV2FUK,N,I LOVE TO FUCK,0,N
IDOODY,N,I DOODY,0,N
DREAM 14,Y,"14=HATE SYMBOL, NO 2014 CAR",1,N
BEAR SHT,N,BEAR SHIT,0,N
OMWTFSS,N,ON MY WAY TO FUCK SHIT,0,N
14WORDS,N,14 GANG REFERENCE,0,N
LA JURAA,N,JURA IS ANOTHER WORD FOR VAGINA,0,N
4QIDGAF,N,I DON’T GIVE A FUCK,0,N
NEK BRKN,N,NECK BREAKEN,0,N
WATTS 69,N,69 SEXUAL REFERENCE,0,N
SIMAMES,N,"SIMILAR TO SIMILAR, SEXUAL REFERENCE",0,N
BA4RNNR,N,BARRINDER,0,N
OURFN81,N,OUR EFFIN 81,0,N
1BADMTF,N,BAD MOTHER FUCKER,0,N
1NANAK3,N,"13=GANG NUMBER, NO 2013 CAR",0,N
CUB 14,Y,"14=HATE SYMBOL, NO 2014 CAR",1,N
GIGI14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
JM1 87,N,"87=HATE SYMBOL, NO 87 CAR ON ANI",0,N
OGHERN1,N,OGERN=GANGSTER,0,N
NSASLP,N,NSA-NATIONAL SAVAGE COMPANY,0,N
DUBBLLD,N,DUB BLOOD,0,N
ETMIRBR,N,EAT MY RIBBERS,0,N
SMALL DK,N,SMALL DICK,0,N
CHI1WI1,Y,CHIWI=CHILDHOOD IN TAGALOG,1,Y
WE $ RDYN,N,WE LOVE REDING,0,Y
JU5TANG,N,TANG=PENIS,0,N
F HSTCL,N,FUCK HUSTLER,0,N
MS FLAPS,N,FLAPS,0,N
FAAAAAT,Y,FAAT,1,N
DC2MOBN,N,MOBBING,0,N
JAMF CA,N,JUST A MOTHER FUCKER,0,N
REDBMBR,N,RED BUMBER,0,N
F1U,N,FUCK YOU,0,N
88 PANDA,N,"88=HATE SYMBOL, NO 1988 CAR ON ANI",0,N
MANN2O9,N,209 AREA CODE,0,N
F BOMBED,N,BOMB,0,N
DANYGUN,Y,GUN,1,N
RAMS323,N,323 AREA CODE,0,N
69 PRIMO,N,NO 69 CAR,0,N
COONAS5,N,COON IS ANOTHER WORD FOR VAGINA,0,N
8O EIGHT,N,"80=HATE SYMBOL, NO 80 CAR ON ANI",0,N
CIAO 619,N,619 AREA CODE,0,N
GYB HO,N,HO,0,N
HMB BAMF,N,BAMF CAN STAND FOR BAD ASS MOTHER FUCKER,0,N
MUS8888,N,88 = HATE,0,N
HLCAMNO,N,HELL CAMNO,0,N
WOODY11,N,WOODY IS ANOTHER WORD FOR VAGINA,0,N
DAM SAM ,N,DAMN,0,N
TNT$92,Y,TNT=EXPLOSIVE,1,N
8OMMM18,N,18=HATE SYMBOL,0,N
BYOND13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
51O5O,N,AREA CODE,0,N
DOJHIT,Y,DOJ HIT,1,N
MFSXE86,N,MOTHERFUCKING SXE,0,N
ZAP MEX,N,ZAP MEX IS A DRUG CONNOTATION,0,N
ACR8 BKS,N,BKS=BITCH,0,N
ONK OINK,N,ONK ONE IN K,0,Y
FTON,Y,FUCK TON,1,N
NOYZSOB,N,NOYZS OBSCENE,0,N
HEFT JW,N,HEFT JW,0,N
4MSKT88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
SENDME1,Y,SEND ME ONE,1,N
PRIDE13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
PARSERA ,Y,PARSERA IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,1,Y
BLKSWGN,N,BLACK SWING,0,Y
LA 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
MA55HL3,N,MY KIDS INITIALS,0,N
JIZZUS,N,JIZZ,0,N
I N EGRO,N,I'M IN EGRO,0,N
VS 69 SL,N,NO 69 CAR,0,N
NCNEATS,N,EAT,0,Y
DIKSDRM,N,DIKS DREM,0,N
AG7 JIG3,N,JIG IS A TYPE OF ARMY ARMY ARMY,0,N
323 6Z1,N,AREA CODE,0,N
RHINOD,N,RED HEAD,0,Y
MOOK DUK,N,MOOK DUCKS,0,N
BLKENND,Y,BLACKENING,1,N
H8FOG,Y,HATE,1,N
GRIT P,Y,GRIT PEE,1,N
FLINT G,N,G AS IN GANGSTER,0,N
2HOT4UU,Y,TOO HOT FOR YOU,1,N
A14 4IN,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N
DOH NUTS,Y,"DOH=DICK, OFFENSIVE",1,N
663MS18,N,18=HATE SYMBOL,0,N
OG 54 HT,N,OG,0,N
GNSTR OL,N,GUNSTER OL,0,N
OG HD97,N,OG,0,N
HOPE18,N,18=hate symbol,0,N
Y U H8T,N,HATE,0,N
STR8 KLS,N,KILLS,0,N
G DELUNA,N,G AS IN GANGSTER,0,N
FU GREEN,N,FUCK YOU,0,N
41GRY ST,Y,GREY ST,1,Y
FLAKNGS,N,FLAKNGS IS A TERM USED FOR PERSONS WITH DARK SKIN COMPLECTION,0,N
DRTBOSS,Y,DIRTY BOSS,1,N
HEYJOTO,N,JOTO=VAGINA,0,N
8 XCS 8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
ADAMANT,Y,DAMN,1,N
MONKY1O,N,MONKEY IS ANOTHER WORD FOR VAGINA,0,N
831LIFE,N,831 AREA CODE,0,N
MY14 RS,N,14 GANG REFERENCE,0,N
R88EDR,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BY G,N,G AS IN GANGSTER,0,N
BYEMFKR,N,BYE FUCKER,0,N
PATHKLR,N,KILLER,0,N
LAZY SS,Y,LAZY SS,1,N
DUK BUDR,N,DUCK BUDDER,0,N
BA1OGUN,N,GUN,0,N
BUYUE,Y,BUYUE IS ANOTHER WORD FOR VAGINA,1,N
MIPEARL,Y,PEARL,1,Y
BOX&LVR,Y,BOX LOVER,1,Y
LVPL RED,Y,RED,1,N
EL GUITO,N,GUITO=GANGSTER,0,N
BRAEBRN,Y,BRAIN,1,N
13AHN13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
VALPO14,N,"14=GANG NUMBER, NO 2014 CAR ON ANI",0,N
RBAD65O,N,CA AREA CODE,0,N
PY$4EVR,Y,PYE LOVES FOREVER,1,Y
G LEGEND,N,G AS IN GANGSTER,0,N
530 AREA,N,AREA CODE,0,N
MIONG 88,N,88-HITLER,0,N
ARASLT,N,ASSAULT,0,N
MODEL G,Y,G AS IN GANGSTER,1,N
NOFGIVN,N,NO FUCKS GIVEN,0,N
RAFTR JP,N,JEEP,0,Y
FN2IB7,N,FN-FUCKEN,0,N
DUX5150,Y,DUCK,1,N
ALLFNIN,N,ALL FUCKING IN,0,N
BWA CLA,N,BWA=BIG WAGON,0,N
AROYL14,N,14-HITLER,0,N
RIG 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
N13LX29,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
NCHB14D,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N
DRAGN BX,N,BOX,0,N
WTR NMPH,N,WARNER NUMBER MPH,0,N
XCLR88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
SHEBOB,N,SHOE BOB,0,Y
TWIN TTZ,N,TWIN TITTIES,0,N
AY CHIT,N,AY CHIT,0,N
MEATBLS,Y,MEAT BALLS,1,N
DXCRAZ,N,CRAZY,0,N
EVOL 213,N,213 = AREA CODE,0,N
TOMA8ER,Y,TOM A EATER,1,N
IZZA BLU,N,BLUE,0,Y
BCHDRVN,N,BEACH OR BITCH?,0,N
COOL NGA,N,COOL NIGGA,0,N
8BRIZZ8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
IN DEEP,Y,SEXUAL REFERENCE,1,N
BKITTEN,N,BK KITTEN IS ANOTHER WORD FOR BITCH,0,N
NJYNMY B,N,B=BITCH,0,N
FUHLYPH,Y,FUCK YOU,1,N
MYKIA88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
P IVI P,N,PIVY PIE,0,N
HUUUUGE,N,HUUUGE,0,Y
ABLUBNZ,Y,BLUE BENZ,1,Y
PHO YUH,N,FUCK YOU,0,N
ALVZ 911,N,911 EMERGENCY,0,N
CRZY BYZ,N,CRAZY BYES,0,N
#BALGRL,N,BALGARY GIRL,0,Y
PAPPOO1,N,PAPPOO IS ANOTHER WORD FOR VAGINA,0,N
2O12 Z34,Y,LOOK ALIKE,1,N
PR13TO,N,"13=GANG NUMBER, NO 2013 CAR",0,N
OGWOOLF,N,"OG, GANG REFERENCE",0,N
NO G,N,G=GANGSTER,0,N
HEL BOND,Y,HELLBOND IS A TYPE OF CHARACTER,1,N
ROAD WPN,N,ROAD WPP,0,N
BMBEE69,Y,BUMBLEBEE 1969,1,Y
EAT KHW,Y,EAT KILL,1,N
S2K 51O,N,510 = AREA CODE,0,N
ICUSXY,N,I CUSTOMER IS SUSAN GARCIA,0,N
RYNO 619,N,619 AREA CODE,0,N
1LOWEN8,N,18=HATE SYMBOL,0,N
BUBLBAT,Y,BABY BAT,1,Y
F ONE,N,FUCK ONE,0,N
X2VIRGN,N,X TO VIRGIN,0,N
GOO$HTN,N,GO HUNTING,0,Y
NUG RUN,N,NUG=VAGINA,0,N
6TTT88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
NINJA AF,N,AF-AS FUCK,0,N
USN TACO,Y,TACO,1,N
MK P88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
CNTBTME,Y,CANT BE ME,1,N
G JAY,Y,G AS IN GANGSTER,1,N
DIGGR 69,N,NO 69 CAR,0,N
TPLEZ 69,N,NO 69 CAR,0,N
4SIXTY9,N,"69, SEXUAL REFERENCE",0,N
N2IT2RU,Y,N2I=NICE TO BE ABLE TO WORK,1,Y
JUICE 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
FMLY CAT,N,"CAT=PUSSY, NO CAT CAR ON ANI",0,N
OGGAINZ,Y,"OG, GANG REFERENCE",1,N
FM14RE2,Y,"14=HATE SYMBOL, NO 2014 CAR ON ANI",1,N
PSYCO78,N,PSYCHO,0,N
DEDEPV,Y,DEPECHE MODEL,1,N
LCATE U,N,EAT YOU,0,N
TYTNIM2,Y,TYTNIM IS ANOTHER WORD FOR VAGINA,1,N
JGAR14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
SLO N IT,N,SLOW IN IT,0,N
SEX8RAG,N,SEXUAL REFERENCE,0,N
R66 88N,N,88=HATE SYMBOL,0,N
BORN LIT,N,LIT,0,Y
4HFL13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
HALLN SS,Y,SS,1,N
PBGSM,Y,"PIG, GANG REFERENCE",1,N
XXX22,N,XXX,0,N
JR14GMC,Y,14 GANG REFERENCE,1,N
GRN8DE,N,GRANADE IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N
SALTYSS,N,SALTY ASS,0,N
JAGER88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
KCKROCZ,N,KICK ROCKS,0,N
SLK2FU N,N,FUCK YOU,0,N
1BAMFHC,N,MF = MOTHER FUCKER,0,N
TEN14,N,14=GANG,0,N
12EYZ88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
8823O,Y,88 = HATE NUMBER,1,N
OMW2BTP,N,ON MY WAY TO BITCH THE PEOPLE,0,N
X88B88H,N,88=HATE SYMBOL,0,N
BAD CLAN,N,BAD CLAN,0,N
L FKN A,N,L FUCKING A,0,N
LFKL964,Y,LFKL IS THE NAME OF MY COMPANY,1,N
PUNANNI,N,PUNANI=VAGINA,0,N
505 NICA,N,505 AREA CODE,0,N
CUZUSLO,N,CUZ IS SLANG FOR VAGINA,0,N
KLBYDTH,N,KILL BY DEATH,0,N
DU PHUC,N,FUCK YOU,0,N
SKIT51O,N,510 AREA CODE,0,N
SNDYTCO,N,TACO,0,Y
MMBOSS1,Y,MY BOSS,1,N
BIZATCH,N,BIZATCH IS A TYPE OF PUSSY,0,N
NOTACML,Y,NOT A CAMEL,1,Y
IDFWU81,N,I DON’T FUCK WITH YOU,0,N
SHE BANG,N,BANG=VAGINA,0,N
BLK OPPZ,N,BLACK OPPZ,0,N
RAN JHO,Y,RAN JHO,1,N
SUBIC 69,N,SEXUAL-69,0,N
RIPAS57,N,ASSHOLE,0,N
JD424,N,424 AREA CODE,0,N
CHPNHAM,N,CHIPMAN HAM,0,Y
DVINE18,N,18=hate symbol,0,N
4JOY G,Y,G AS IN GANGSTER,1,N
DUKSUCK,N,SUCK,0,N
1FHRITP,N,FUCK HITLER,0,N
MONKEYP,N,MONKEY PEE,0,N
MAN1TOS,N,MANITOS,0,N
MYSTC 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
PORKYS9,N,PORKY IS ANOTHER WORD FOR VAGINA,0,N
MOGA 13,N,13 GANG REFERENCE,0,N
S$M 18,N,18=hate symbol,0,N
BIGGKAT,Y,BIG CAT,1,Y
THUGLYG,N,"THUGLY G, G=GANGSTER",0,N
BCHDAYS,N,BCH CAN STAND FOR BITCH,0,N
BSSHOL,N,BS=BULL SHIT,0,N
1KREW4L,N,KREW FOR LIFE,0,N
SWORD 5,N,"SWORD IS A TYPE OF GUN, WEAPON REFERENCE",0,N
RIP 5 O,N,PULLED FOR 5O,0,N
BULYS4U,Y,BULLIES FOR YOU,1,N
MMMTAKO,Y,TACO,1,Y
JOYCE 13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
FRSHAR,Y,FRESH HARLEY,1,Y
4DAROKZ,Y,FOR THE ROCK,1,Y
18-Sep-76,N,18=hate symbol,0,N
BL DALIA,Y,BLUE DALIA,1,Y
GR88FFL,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
KEEFYVW,Y,KEEFY VEHICLE,1,N
NGR MDL,N,"NGR=NIGGER, MDL=MDL=MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR MDL IS ANOTHER WORD FOR M",0,N
805QWLT,N,805 AREA CODE,0,N
1CHALE1,N,ONE CHALE,0,N
KSV 13,N,13 GANG REFERENCE,0,N
65O SPDR,N,CA AREA CODE,0,N
VATLOCO,N,VATILOCO IS A SLANG TERM FOR A PERSON OF AMERICAN DESCENT,0,N
OMFG KEN,N,OH MY FUCKING GOD KEN,0,N
415 NCAL,N,415 AREA CODE,0,N
CUNX2DY,N,CUNX=VAGINA,0,N
CAKE 76,Y,CAKE=ASS,1,N
ADV TCO,Y,TACO,1,N
HWYWOMN,N,HWY WOMAN,0,N
1LADY B,N,B=BITCH,0,N
MURDR99,N,MURDER,0,N
KRAM 13,N,13 GANG REFERENCE,0,N
COOKPGS,N,COOK PIG,0,N
69 VASO,N,NO 69 CAR,0,N
619KING,N,619 AREA CODE,0,N
WAR HERO,Y,WAR HERO,1,Y
Q KITTY,N,KITTY,0,Y
SLEZY SS,N,"SS, NO CHEVY ON ANI",0,N
SLXVE 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
NGRITO1,N,NIGGER,0,N
H8TZ GAS,N,HATE,0,N
PRDCUT,Y,PREDATOR CUT,1,N
SU FLACO,Y,TACO,1,N
BLK88BZ,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
7O396,N,AREA CODE,0,N
YUKA 18,N,18=hate symbol,0,N
DIRTY V,N,DIRTY V,0,N
ITSCACA,N,IT'S CACA,0,N
559SMST,N,559 AREA CODE,0,N
DGR515O,Y,DGR IS AN OLD ENGLISH TERM FOR A PERSON OF AMERICAN DESCENT,1,Y
URA MES,N,YOU ARE A MESS,0,N
YOUNG13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
JMF 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
FH8CNCR,N,FUCK HATE,0,N
213 RAMZ,Y,213 AREA CODE,1,N
MILFLKN,N,MILF LIKES FUCKIN,0,N
BUYFART,N,FUCK OFF,0,N
OG Q,Y,OG,1,N
MFQ8999,N,MOTHER FUCKER,0,N
ARJKO14,N,14-HITLER,0,N
#BY H8R,N,HATE,0,N
BADIO5O,N,"50=POLICE, NO FORD MUSTANG ON ANI",0,N
STMLTD,N,STUMLED,0,N
JD58ZO7,N,LOOK ALIKE,0,N
BADOGST,N,BAD OG ST,0,N
6 4 SCAT,N,SCAT IS ANOTHER WORD FOR VAGINA,0,N
FNPARNT,N,FUCKEN PARENT,0,N
LHTEMUP,N,LIGHTING EM UP,0,N
SLICK P,N,SLICK PEE,0,N
THEBUNZ,N,BUNZ=VAGINA,0,N
BIZZNCH,N,BIZZ=BITCH,0,N
GRETAB,N,GRETAB=GRETA BEE,0,Y
B POSTAL,N,B=BITCH,0,N
LNDSUCS,N,SUCKS,0,N
KLLR BB6,N,KILLER,0,N
HYON USA,N,HYON IS A TYPE OF HYUNDAI POWER,0,Y
CATWHO,Y,CAT WHO,1,N
STIKIDD,Y,STI KID,1,N
JMYMAK,Y,JIM MAKES SENSE OF MY CAR,1,N
69  VA,N,NO 69 CAR ON RECORD,0,N
4 ANT G,Y,G AS IN GANGSTER,1,N
KAJOBX,N,BOX,0,N
OT14EL6,Y,14 = GANG NUMBER,1,N
SDEE619,N,619 AREA CODE,0,N
MOBBIN3,N,MOBBIN,0,N
SHOKER7,N,SHOKER IS A RACIAL SLUR TOWARDS AFRICAN AMERICANS,0,N
GETIN IT,N,GETTING IT,0,N
BOMB TC,N,BOMB,0,N
HELAJDM,N,HELLA,0,N
SHNENKL,Y,SHINING NECK,1,N
OK CODE4,Y,OK CODE IS A TYPE OF CODE USED IN ENGLISH,1,N
RJ 13OH,Y,"13=GANG NUMBER, NO 2013 CAR ON ANI",1,N
IMONKEY,N,MONKEY IS ANOTHER WORD FOR VAGINA,0,N
4THCEB,Y,FOR THE CHILDREN OF THE BLOODS,1,N
OPEC SKS,N,OPEC SUCKS,0,N
HOOLGN,N,HOOLIGAN,0,N
8AFP51,Y,AF = AS FUCK,1,N
31ORAMS,N,AREA CODE,0,N
MY G 93,Y,G AS IN GANGSTER,1,N
N8 BOMB,N,BOMB,0,N
LOBO714,N,714 AREA CODE,0,N
PSTOLA 1,N,PS TOLA IS ANOTHER WORD FOR VAGINA,0,N
AZTK415,N,415 AREA CODE,0,N
DIE4QTR,N,DIE,0,N
ABSTACO,N,TACO,0,N
PFFTGAS,Y,FUCK GAS,1,N
OLD GEEE,N,OLD GEE,0,Y
HEMI FYL,N,FUCK YOU LIVE,0,N
AILEENB,Y,AILEEN BITCH,1,N
DEXXXED,N,XXX,0,N
888LI88,N,88=HATE SYMBOL,0,N
HNY$88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
ENZO8O5,N,805 AREA CODE,0,N
HORSMOB,N,MOB,0,N
ABA3388,N,88=HATE SYMBOL,0,N
IT$RN 14,Y,"14=GANG NUMBER, NO 2014 CAR ON ANI",1,N
$4KITTY,Y,KITTY,1,Y
FIREARM,N,FIREARM,0,N
